,Task,Core,Start,End,Rank
129,680,0,510103.99427029997,514265.36014009995,925666.9790879999
130,681,0,514265.36014009995,514683.57647399994,921505.6132181999
131,682,0,514683.57647399994,519861.93968149996,921087.3968842999
132,683,0,519861.93968149996,523681.76701999997,915909.0336768
133,688,0,523681.76701999997,531035.4729687,912089.2063383
134,689,0,531035.4729687,537644.2543988,904735.5003896
135,690,0,537644.2543988,544928.2923394999,898126.7189595001
136,684,0,544928.2923394999,550662.410895,890842.6810188001
137,685,0,550662.410895,554187.8567346,885108.5624633001
138,686,0,554187.8567346,555821.8633812,881583.1166237
139,687,0,555821.8633812,558916.9206343,879949.1099771
140,1300,0,558916.9206343,563988.6264218,876854.0527240001
141,1302,0,563988.6264218,569781.2799758,871782.3469365
142,1328,0,569781.2799758,571735.1299589999,865989.6933825001
143,1329,0,571735.1299589999,572537.5100325999,864035.8433993001
144,1249,0,572537.5100325999,577630.2184961999,863233.4633257001
145,1251,0,577630.2184961999,583034.2644359999,858140.7548621001
146,1254,0,583034.2644359999,583828.7112026999,852736.7089223001
147,1248,0,583828.7112026999,585034.4649114999,851942.2621556001
148,1250,0,585034.4649114999,587027.3514789998,850736.5084468002
149,1253,0,587027.3514789998,589972.1822379999,848743.6218793002
150,691,0,589972.1822379999,594290.4086134998,845798.7911203002
151,692,0,594290.4086134998,597189.4122462998,841480.5647448002
152,693,0,597189.4122462998,598900.2865687998,838581.5611120003
153,700,0,598900.2865687998,600075.3963546997,836870.6867895003
154,701,0,600075.3963546997,602377.5554362998,835695.5770036003
155,702,0,602377.5554362998,602646.6203503998,833393.4179220003
156,694,0,602646.6203503998,607870.1483533997,833124.3530079003
157,695,0,607870.1483533997,612545.6821137997,827900.8250049003
158,696,0,612545.6821137997,620514.7687801997,823225.2912445003
159,697,0,620514.7687801997,627064.5546635997,815256.2045781004
160,698,0,627064.5546635997,628958.3780533997,808706.4186947003
161,699,0,628958.3780533997,631729.6585107998,806812.5953049003
162,703,0,631729.6585107998,634091.2389080997,804041.3148475003
163,704,0,634091.2389080997,641052.5925254998,801679.7344502003
164,705,0,641052.5925254998,645771.2819895998,794718.3808328003
165,706,0,645771.2819895998,648751.6306051998,789999.6913687002
166,711,0,648751.6306051998,652779.3674812998,787019.3427531002
167,712,0,652779.3674812998,659152.7947417998,782991.6058770003
168,713,0,659152.7947417998,660070.4253956998,776618.1786165002
169,714,0,660070.4253956998,665998.3666932998,775700.5479626002
