,Task,Core,Start,End,Rank
912,1389,6,516637.0550435,518481.1082405,14587.591901599999
913,1367,6,519741.0212375,526680.9779003001,163030.02873589992
914,1370,6,526680.9779003001,530754.0698511001,156090.07207309993
915,439,6,530754.0698511001,534667.1229355001,711382.612105
916,447,6,547477.8629114999,554787.296899,697960.2620172999
917,378,6,554811.7478951002,560896.1190870001,38929.404610499994
918,379,6,560896.1190870001,562753.3234443001,32845.0334186
919,1293,6,566021.5924656,571319.1890938,675865.8939761999
920,382,6,571319.1890938,575787.3795017,24357.2933824
921,903,6,575787.3795017,582543.0207918,492771.3726429
922,1466,6,582967.4261644998,584659.5804899998,553795.7120107001
923,1468,6,584659.5804899998,585946.9665484999,552103.5576852001
924,418,6,584856.2169578999,586897.5600900998,114502.89066429996
925,419,6,586897.5600900998,587244.3002954999,112461.54753209997
926,376,6,588626.3193129001,595095.9987626001,7050.1631633
927,377,6,596324.9164625001,596905.4001761001,580.4837136
928,1455,6,597079.9918333999,602635.1103645999,31930.598633199996
929,1256,6,602635.1103645999,604885.2352809998,76933.7917412
930,1257,6,604885.2352809998,611298.9424564998,74683.66682479999
931,391,6,607255.6408401998,611914.0532849998,11520.5661683
932,825,6,611914.0532849998,618764.6578320998,530158.3054191001
933,256,6,614645.4956502998,617376.9380155999,88622.16922679999
934,257,6,617376.9380155999,625223.9612673998,85890.72686149999
935,1334,6,620164.3130753998,625317.3795890998,46425.6589385
936,1335,6,625317.3795890998,631715.5838668998,41272.592424799994
937,259,6,631715.5838668998,636977.8261664999,73951.3455954
938,260,6,639175.3489134999,640662.2025074998,68689.1032958
939,1236,6,640874.8683193001,646852.8837818002,615445.3243892
940,835,6,647348.4344307999,651373.9950438999,495981.4422123
941,1279,6,651421.4637946999,658578.0818679999,543016.936813
942,1198,6,656509.1312323998,658690.2629336999,16992.1361215
943,1240,6,658690.2629336999,664596.8891491999,599312.8510924999
944,318,6,664802.1699207003,668459.4493276003,29305.907441900003
945,319,6,668459.4493276003,673333.5356406003,25648.628035
946,1298,6,673333.5356406003,679301.0756526003,523601.4245438
947,1346,6,675546.1503716003,679492.4794290003,3946.3290574
948,366,6,679492.4794290003,684476.2171937003,31700.996941100002
949,327,6,684563.0361814002,684750.1090911002,10581.7501699
950,769,6,684750.1090911002,691118.5993706002,582628.6536919
951,841,6,691118.5993706002,693896.3037188002,11248.045182900001
952,1284,6,695042.4673865002,695865.1268520002,504734.086817
953,474,6,695865.1268520002,699839.9072638003,582445.7854744999
954,1287,6,699839.9072638003,707549.2177224003,503911.4273515
955,467,6,707549.2177224003,712613.4101142003,572972.4797829
956,762,6,710542.4197302003,711371.8424027003,566873.0364040999
957,763,6,711371.8424027003,716643.9214082003,566043.6137315999
958,1301,6,716643.9214082003,719069.9107821003,488788.1917946
959,764,6,719069.9107821003,723919.3511501002,560771.5347260999
960,765,6,723919.3511501002,724369.8011918003,555922.0943581
961,471,6,724369.8011918003,730774.0095119003,558585.2692180999
962,240,6,741376.1765673002,742547.4808917003,542196.6513536
963,1420,6,735334.0328141003,739321.1272471002,109602.27675169999
964,794,6,755626.7865860001,761238.8472398001,19517.499344
965,795,6,761238.8472398001,761965.2177346002,13905.438690199999
966,274,6,761965.2177346002,768199.5744804002,525653.1703724
967,1059,6,769100.4862894004,775909.8750491004,512003.60293769994
968,1052,6,775909.8750491004,780090.0493133004,505194.21417799994
969,1061,6,786118.9517231004,793763.4527063004,495503.9114304
970,984,6,800554.6469574003,807452.4668569003,54226.6537558
971,247,6,807452.4668569003,813593.2278981003,487843.4157148
972,1179,6,844725.9108960003,849172.8363491003,18154.635005
973,1182,6,849172.8363491003,851858.7994841003,13707.709551900001
974,995,6,850951.6667678003,855296.7727438003,13120.217539099998
975,999,6,855296.7727438003,857833.5508965004,8775.1115631
976,1000,6,857833.5508965004,864071.8843069003,6238.3334104
977,636,6,1101557.7810362005,1105209.8714399005,85771.90679999998
978,667,6,1142381.4373833006,1144691.7041833007,44948.2504529
979,668,6,1144691.7041833007,1149091.5075581006,42637.9836529
980,675,6,1155173.7269771006,1161367.5356365007,32155.9608591
981,676,6,1161367.5356365007,1164930.5535164007,25962.1521997
982,1242,6,1276083.8797294993,1281132.1902718993,139579.1577677
983,1245,6,1281132.1902718993,1286606.9176127994,134530.8472253
984,1247,6,1286606.9176127994,1291014.1027393995,129056.1198844
985,1243,6,1291014.1027393995,1294933.4677939995,124648.9347578
986,1229,6,1307331.3014004997,1309175.0373325997,111286.0248427
987,1230,6,1309175.0373325997,1311963.9092574997,109442.28891060001
988,1233,6,1311963.9092574997,1317747.7790882997,106653.41698570001
989,1141,6,1317747.7790882997,1320058.9814569997,100869.5471549
990,1143,6,1320058.9814569997,1324407.9858703997,98558.3447862
991,1145,6,1324407.9858703997,1329751.2689523997,94209.3403728
992,1148,6,1329751.2689523997,1330488.8949593997,88866.0572908
993,605,6,1330488.8949593997,1337619.3849997998,71065.4161814
994,606,6,1337619.3849997998,1340617.1997025998,63934.926140999996
995,594,6,1343297.3103605998,1344656.1006934997,52596.3823993
996,595,6,1344656.1006934997,1347770.4134881997,51237.5920664
997,608,6,1348572.0901951997,1356041.3754230996,52982.2209456
998,1154,6,1356041.3754230996,1359111.4995358996,70754.5527399
999,609,6,1357257.6492618995,1359401.1543013996,45512.9357177
1000,616,6,1359401.1543013996,1361976.0296539995,43369.4306782
1001,602,6,1361976.0296539995,1365299.4001412995,38331.6247717
1002,603,6,1365299.4001412995,1370484.2365793996,35008.2542844
1003,604,6,1370484.2365793996,1377301.8955759995,29823.417846299995
1004,620,6,1377301.8955759995,1383345.8708428994,31495.1137256
1005,597,6,1380348.9063964996,1385206.3100275996,23005.758849699996
1006,598,6,1385206.3100275996,1392455.3476632996,18148.355218599998
1007,599,6,1392455.3476632996,1396025.5395640996,10899.3175829
1008,1506,7,3838.0837369,11090.529733200001,21351.6862857
1009,1527,7,11090.529733200001,16842.4538695,16069.4328919
1010,1509,7,16842.4538695,21408.819114,11693.5092594
1011,1532,7,21408.819114,28329.455024500003,17366.3885552
1012,937,7,454874.70988259994,461168.21013029997,26452.042569699996
1013,939,7,461168.21013029997,463908.66614419996,20158.542321999998
1014,1041,7,464497.04281559994,468061.1659472999,571814.4199986001
1015,1372,7,469649.2831776999,473045.6304920999,57016.20241540001
